cell_type	LUAD.thyroid_GOBP_CELLULAR_RESPONSE_TO_THYROID_HORMONE_STIMULUS.233_TUM	LUAD.progesterone_GOBP_CELLULAR_RESPONSE_TO_PROGESTERONE_STIMULUS.233_TUM	LUAD.aldosterone_GOBP_RESPONSE_TO_ALDOSTERONE.233_TUM	LUAD.androgen_HALLMARK_ANDROGEN_RESPONSE.233_TUM	LUAD.estrogen_HALLMARK_ESTROGEN_RESPONSE_EARLY.233_TUM	LUAD.estrogen_HALLMARK_ESTROGEN_RESPONSE_LATE.233_TUM	LUAD.cortisol_glucocorticoid_GOBP_RESPONSE_TO_CORTISOL.233_TUM	LUAD.thyroid_GOBP_CELLULAR_RESPONSE_TO_THYROID_HORMONE_STIMULUS.24_NAT	LUAD.progesterone_GOBP_CELLULAR_RESPONSE_TO_PROGESTERONE_STIMULUS.24_NAT	LUAD.aldosterone_GOBP_RESPONSE_TO_ALDOSTERONE.24_NAT	LUAD.androgen_HALLMARK_ANDROGEN_RESPONSE.24_NAT	LUAD.estrogen_HALLMARK_ESTROGEN_RESPONSE_EARLY.24_NAT	LUAD.estrogen_HALLMARK_ESTROGEN_RESPONSE_LATE.24_NAT	LUAD.cortisol_glucocorticoid_GOBP_RESPONSE_TO_CORTISOL.24_NAT
B cell naive	0.29153497967505443	0.050777895145967	2.4017957814462507e-06	0.00046028260495226304	0.0005358324109754352	0.004273734624314367	7.634953027114948e-06	0.7713343005112614	0.0725863821760811	0.8622893584755251	0.34875573272354543	0.8909226043767046	0.884546955655295	0.7436342012968032
B cell memory	0.14083572189262192	0.8591333762840925	0.13803484396804858	0.639378272107459	0.800774094340852	0.9330304490530753	0.6942047830993174							
B cell plasma	0.09779131920198131	0.015376857674140754	0.007696963428165579	0.21115268863795356	0.011526203355457629	0.2144588711578964	0.0005301001456959525	0.8712435420745898	0.26047318970040845	0.3303879088761241	0.503567858476226	0.9376501036584044	0.7118136961291484	0.37845167579960426
T cell CD8+	0.03472625194053635	2.256823436436086e-05	1.950328909699026e-06	0.1032087865422533	0.5192283839862134	0.08616718762512347	0.03011568646673047	0.45765578201494617	0.05925750969939877	0.7253351223309568	0.7344671341768292	0.6507456469889163	0.7041697144360882	0.14940850037488196
T cell CD4+ naive														
T cell CD4+ memory resting	0.05920849639580937	0.8173199515321251	8.922622633778122e-11	9.42531403667214e-13	5.0658114940905e-07	0.0035176412985087452	1.5795109965812856e-08	0.8306723439322352	0.04948640343954962	0.31351686150284375	0.7806300955564118	0.5009827163280622	0.26221750952163636	0.0027629445069863624
T cell CD4+ memory activated	0.40370644138180567	3.240438448519672e-08	0.06421776659355899	0.3152124784268514	0.4032233288433259	0.5718072156447223	0.3827755853782745							
T cell follicular helper	0.13696749812074585	0.01669931237410751	0.0007426770146525706	0.6145378015965791	0.7427361001785081	0.18539502003764888	0.531924845749706	0.17966487658001123	0.9365584481926122	0.37008312228206786	0.831716405381337	0.12520440713849534	0.16014543725525882	0.11730680301423815
T cell regulatory (Tregs)	0.6441973178282824	0.05348698642831969	2.178793818554749e-06	0.8965928812439505	0.001937289693589885	0.0010219537717849356	0.931248932651916							
T cell gamma delta	0.41677476889913834	0.25513775175895725	0.6646331617926677	0.5273023541661082	0.9484022252365223	0.712884219214772	0.8290236405313092							
NK cell resting	0.0661036400515351	0.0005162173670939588	0.2102248698280602	0.17666786392706962	0.8062722158989621	0.35672097258027435	0.05852630638477593	0.8403389659546905	0.5310434616086306	0.10996436611637714	0.7431490742332265	0.586852724489982	0.44262106677574986	0.11312213950560147
NK cell activated	0.2445669482152158	0.02811645431138305	0.0017710445898124366	0.777215727113928	0.02992749608980996	0.000283750999120793	0.20842763427411506	0.6564245147485952	0.45768790507519985	0.18783442010629964	0.25406688060961147	0.6564245147485952	0.1278060090882619	0.1405441773736763
Monocyte	0.23641148405144433	0.5866075628485404	0.004069345952091249	0.001917598755128742	0.44786290983303223	0.9935297739852986	0.26747822773504987	0.6449056390307348	0.12960877674073518	0.006983184749703951	0.09759766185158254	0.05864447105666783	0.48290169232371793	0.022833034205313595
Macrophage M0	0.0008704092682684358	0.14739834127967624	2.6445289009165025e-07	0.0002937012613191096	0.0023607658413026243	0.007481403514138552	0.7071966867600932	0.29699219432941915	0.8649333446053347	0.03530661683884888	0.14158261779089318	0.7640753557905012	0.6832553329339466	0.13897508098949363
Macrophage M1	0.024968107064926737	2.280020238276583e-08	0.0007964722245453458	0.10442285130377645	0.27157335165700336	0.5408181378590642	0.6778075773665118	0.6861953252985288	0.01832157146143348	0.48546433225418195	0.25159816184284284	0.41165144697505396	0.6361837822056855	0.1982171723154793
Macrophage M2	4.963662840826075e-06	0.046987072287659866	8.866338607191572e-12	1.1085986601125182e-09	5.68404239726177e-05	0.0012845165887869691	8.731958904406172e-08	0.6188809974331805	0.22628553340548088	0.46767051016381667	0.7589874525518234	0.8909226043767046	0.6683845191595212	0.42829525040358907
Myeloid dendritic cell resting	0.229196363083959	0.009736844417954155	6.334782942039554e-08	0.006880607781368517	0.07342703079547352	0.07121850765611513	0.048167299784968934	0.325898627038793	0.2708557980141591	0.7816639121085741	0.16438973703865012	0.9548397533571387	0.17936353052759138	0.4898669433807742
Myeloid dendritic cell activated	0.18680291824908846	0.08328349112694335	0.08641479042809984	0.06223153563285606	0.13314536303521982	0.33637358612844914	0.9977241874639227	0.21489010690621163	0.7698063189062444	0.31797476682653447	0.06146904161184651	0.30020406166806796	0.7210236536238765	0.7643412715216654
Mast cell activated	0.035443819378125	0.3898618098491454	1.7770458913432843e-08	5.020560539643302e-08	2.9180199656264852e-06	0.0005083687480200488	4.6672109960217394e-07	0.7549478236684113	0.9225104517760874	0.9185490835113286	0.021433914769516654	0.5697228950732829	0.7097094861597419	0.05850104223477937
Mast cell resting	0.0900656480866544	0.6187883027440202	0.5979885206977005	0.02002623831690708	0.6938128492026008	0.6122561044810437	0.3031452156624844							
Eosinophil	0.7982246699859685	0.9987257957992202	0.16330793722252135	0.34440164304841403	0.7797538500832571	0.7431750241196924	0.7214846552799598	0.6926899392518374	0.7977151313810279	0.509950460343896	0.31141340050989863	0.7108992592881785	0.7851478708666942	0.20020499436454786
Neutrophil	0.33676959102952486	0.026616395073353703	1.0503557146479821e-05	5.1472761083943235e-05	0.0015730939428784557	8.478929460206426e-06	0.015702230375761603	0.8401329841149333	0.38396703397174836	0.319571222288681	0.35304943524240395	0.9710483085120961	0.47271986689761514	0.8622893584755251
